Cluster,Feature,Female,Male,No,Yes,DSL,Fiber optic,Month-to-month,One year,Two year
0,gender,48.73262469337694,51.26737530662305,,,,,,,
1,gender,50.33175355450237,49.66824644549763,,,,,,,
2,gender,49.82300884955752,50.176991150442475,,,,,,,
0,Dependents,,,59.443990188062145,40.55600981193786,,,,,
1,Dependents,,,69.41548183254345,30.584518167456554,,,,,
2,Dependents,,,91.94690265486726,8.053097345132745,,,,,
0,PhoneService,,,8.094848732624694,91.9051512673753,,,,,
1,PhoneService,,,11.753554502369669,88.24644549763033,,,,,
2,PhoneService,,,9.115044247787612,90.88495575221239,,,,,
0,MultipleLines,,,57.89043336058871,42.109566639411284,,,,,
1,MultipleLines,,,57.6303317535545,42.3696682464455,,,,,
2,MultipleLines,,,57.9646017699115,42.0353982300885,,,,,
0,InternetService,,,,,55.23303352412101,44.76696647587899,,,
1,InternetService,,,,,55.892575039494474,44.10742496050553,,,
2,InternetService,,,,,58.05309734513274,41.94690265486726,,,
0,Contract,,,,,,,54.98773507767785,19.950940310711367,25.061324611610793
1,Contract,,,,,,,53.838862559241704,21.70616113744076,24.454976303317537
2,Contract,,,,,,,53.451327433628315,23.36283185840708,23.1858407079646
